id	sample_123	sample_62	sample_100	sample_91	sample_88	sample_103	sample_65	sample_1	sample_108	sample_47	sample_90	sample_98	sample_58	sample_30	sample_37	sample_94	sample_34	sample_53	sample_76	sample_31	sample_56	sample_106	sample_55	sample_29	sample_60	sample_54	sample_33	sample_14	sample_121	sample_28	sample_86	sample_16	sample_25	sample_87	sample_127	sample_129	sample_119	sample_128	sample_63	sample_46	sample_109	sample_49	sample_82	sample_101	sample_23	sample_8	sample_93	sample_3	sample_59	sample_73	sample_107	sample_70	sample_36	sample_27	sample_38	sample_12	sample_39	sample_24	sample_20	sample_44	sample_78	sample_105	sample_81	sample_113	sample_84	sample_80	sample_13	sample_130	sample_18	sample_77	sample_19	sample_125	sample_99	sample_41	sample_124	sample_43	sample_4	sample_85	sample_64	sample_75	sample_45	sample_15	sample_120	sample_102	sample_95	sample_114	sample_48	sample_89	sample_66	sample_118	sample_68	sample_71	sample_92	sample_72	sample_67	sample_126	sample_42	sample_61	sample_26	sample_104	sample_52	sample_40	sample_79	taxonomy
OTU_1	1053	84	0	507	398	46	261	812	260	17	62	79	1722	289	1943	96	1028	116	15	2716	472	48	101	111	426	1	191	44	1195	40	90	12	115	144	275	925	361	1060	337	35	4748	73	124	799	347	428	238	1	212	77	149	69	273	120	4623	1488	48	87	23	1102	19	3095	277	292	232	78	162	366	3591	2346	5	181	298	170	197	669	149	201	155	97	523	12	555	1071	242	502	3315	2173	0	169	195	2273	7	176	41	690	195	209	45	331	1	1701	5099	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
OTU_2	2808	288	4358	1985	3309	95	447	1	490	34	111	150	509	3403	0	242	468	155	101	198	478	289	278	296	2121	68	726	290	239	133	509	191	649	353	1102	390	89	458	3	10	778	46	1347	311	123	1166	188	879	1573	123	1007	190	147	35	0	842	377	72	42	9	437	0	739	660	183	119	134	643	0	13	822	446	123	269	719	49	327	56	1	188	144	343	1031	491	1198	269	5	810	0	2	546	1463	3211	540	215	1	158	491	20	670	803	1	531	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium
OTU_3	0	209	0	1001	3	139	1	466	8	169	957	332	2946	0	0	12	80	486	313	5	187	131	796	524	1446	72	816	718	1	424	871	110	249	86	366	1	124	99	1305	114	4	677	0	0	148	931	116	4	149	79	1092	598	7	59	4	2	962	36	261	286	101	2	203	853	1411	489	2213	2	2	2	1	497	36	232	1	43	1637	739	292	679	274	564	8	0	64	114	0	1	1	3	116	4	1	181	1381	0	530	432	126	378	2	1	2	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia
OTU_4	0	4609	0	0	2	1500	0	1	0	412	1124	0	2	302	0	0	0	1045	16	9	705	541	1101	0	3	141	1581	601	0	902	194	463	1	35	0	0	0	35	481	324	1	0	1	3	0	59	859	0	1068	0	229	2	1	1596	0	1	304	512	18	2	180	0	15	290	836	0	14	216	0	1	0	15	2	388	1226	1	2928	0	46	2	278	329	0	0	0	51	0	0	0	0	0	0	0	1584	1065	1750	2	9	0	479	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium
OTU_5	649	74	1	232	474	35	383	481	64	11	20	545	803	24	1056	135	369	4	66	1359	192	7	25	55	2	2	2	22	285	1	0	30	2	1	0	1	1	222	1	89	735	2	0	774	76	464	30	0	0	26	705	19	541	79	1	647	10	2	118	444	314	1771	438	241	21	58	84	3	2	631	0	1	242	57	179	270	74	17	29	1	407	6	916	1841	1	0	661	808	1	2	594	360	0	9	11	133	39	50	159	161	1	1188	4	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVa
OTU_6	0	539	26	6	0	122	184	19	0	8	388	49	2	0	2	773	0	6	1	0	1	12	209	280	2	65	0	11	0	2	1958	1984	0	2	0	0	0	0	0	0	0	0	0	2	0	9	799	0	9	10	2	2791	1	1	1	0	1	167	2	0	0	0	1	9	0	222	1046	2	0	0	0	764	2305	2803	0	1	0	1135	101	15	1	594	1	0	6	14	0	0	624	0	8	0	20	0	407	0	282	0	4	948	90	3	0	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium
OTU_7	0	1	0	71	3	285	1663	1169	1416	390	608	0	1	0	160	164	729	394	48	1	0	0	134	0	0	122	5	108	1	174	33	0	1	995	138	0	2	0	68	130	0	861	0	0	335	0	0	73	66	2795	0	333	1048	629	0	621	0	849	685	33	1104	0	734	5	879	650	259	0	0	1	1175	0	633	2	203	601	0	317	738	372	2495	397	0	539	0	207	85	690	0	1	2	1	0	356	602	911	323	755	3	235	464	292	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
OTU_8	70	27	7	0	194	0	1	0	1	142	0	0	4	8	1299	207	127	0	0	0	235	1	46	1	1	0	0	0	587	0	10	6	243	0	0	570	141	78	7	0	517	81	0	169	0	9	48	1	22	0	101	2	92	53	46	24	15	0	0	21	61	783	45	0	0	35	98	615	187	382	0	0	61	54	0	448	1	98	70	12	169	0	208	13	1	20	281	299	1	0	2	24	0	0	0	0	21	1	21	429	1	0	1156	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
OTU_9	0	0	0	0	0	63	0	1	3	28	45	5	2	0	0	592	0	2028	192	0	3	1249	261	0	1	196	0	805	6	122	18	60	27	92	63	0	1	820	1	131	0	586	0	8	0	142	0	0	284	4	151	2	0	71	2	0	221	0	927	0	106	1	22	390	0	319	708	0	0	0	92	540	30	1	0	3	0	50	672	1757	0	38	0	0	29	139	0	191	0	0	0	1	1	9	0	1	0	7	0	0	336	0	2	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
OTU_10	0	0	0	27	0	4	66	123	46	16	14	62	91	20	15	0	318	16	96	272	71	11	51	42	28	2	0	3	166	19	5	3	2	66	293	1208	419	1	109	24	272	51	0	1	23	126	1	41	0	4	34	101	35	140	1	122	33	20	34	70	180	141	47	85	41	39	0	77	252	151	149	115	83	14	119	13	69	47	9	84	129	15	40	253	0	74	178	555	0	0	186	36	0	64	2	143	111	67	0	81	184	227	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVa
